t=2023-02-13T08:37:04+0700 lvl=info msg="no configuration paths supplied"
t=2023-02-13T08:37:04+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\Damar\\AppData\\Local/ngrok/ngrok.yml
t=2023-02-13T08:37:04+0700 lvl=info msg="open config file" path=C:\\Users\\Damar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2023-02-13T08:39:28+0700 lvl=info msg="join connections" obj=join id=a03b6a9d9aca l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:28+0700 lvl=info msg="join connections" obj=join id=e24228d143f4 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:34+0700 lvl=info msg="join connections" obj=join id=5bc2091ae458 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:34+0700 lvl=info msg="join connections" obj=join id=855df4bd435c l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:39+0700 lvl=info msg="join connections" obj=join id=0fda4fc88ceb l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:39+0700 lvl=info msg="join connections" obj=join id=bd7a3d6f3473 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:44+0700 lvl=info msg="join connections" obj=join id=9de41b0d3f84 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:44+0700 lvl=info msg="join connections" obj=join id=9d3f3198901b l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:50+0700 lvl=info msg="join connections" obj=join id=32bcac0ec38b l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:56+0700 lvl=info msg="join connections" obj=join id=3838930ab60a l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:56+0700 lvl=info msg="join connections" obj=join id=a135f5f70f59 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:57+0700 lvl=info msg="join connections" obj=join id=534f780ac2cb l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:59+0700 lvl=info msg="join connections" obj=join id=52676d923d71 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:39:59+0700 lvl=info msg="join connections" obj=join id=b4bc6b8de989 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:00+0700 lvl=info msg="join connections" obj=join id=4b9f8ca53064 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:00+0700 lvl=info msg="join connections" obj=join id=8dc333b8a4e4 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:02+0700 lvl=info msg="join connections" obj=join id=f9660eb7f235 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:02+0700 lvl=info msg="join connections" obj=join id=7831cd549ea4 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:02+0700 lvl=info msg="join connections" obj=join id=c5b08c2061bb l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:02+0700 lvl=info msg="join connections" obj=join id=46787f12f77f l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:03+0700 lvl=info msg="join connections" obj=join id=9b132735c836 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:03+0700 lvl=info msg="join connections" obj=join id=f8be1851d7c7 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:05+0700 lvl=info msg="join connections" obj=join id=f5c6aa7a66d2 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:05+0700 lvl=info msg="join connections" obj=join id=d59511a97593 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:06+0700 lvl=info msg="join connections" obj=join id=0fb2e1c613d7 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:07+0700 lvl=info msg="join connections" obj=join id=7e4233d8d5b0 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:07+0700 lvl=info msg="join connections" obj=join id=933cbfa06b19 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:07+0700 lvl=info msg="join connections" obj=join id=bd0be1663056 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:07+0700 lvl=info msg="join connections" obj=join id=2da7af9b8d0f l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:09+0700 lvl=info msg="join connections" obj=join id=5bda77cc8303 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:09+0700 lvl=info msg="join connections" obj=join id=cfb16472ced5 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:10+0700 lvl=info msg="join connections" obj=join id=974ec085ab0e l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:10+0700 lvl=info msg="join connections" obj=join id=f8ea42fd302b l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:11+0700 lvl=info msg="join connections" obj=join id=27af917fe5f3 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:11+0700 lvl=info msg="join connections" obj=join id=949a0a283461 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:13+0700 lvl=info msg="join connections" obj=join id=adb9b287e936 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:13+0700 lvl=info msg="join connections" obj=join id=fbf1c69d7974 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:13+0700 lvl=info msg="join connections" obj=join id=3a12e4acc65d l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:14+0700 lvl=info msg="join connections" obj=join id=1e5042a29b4c l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:14+0700 lvl=info msg="join connections" obj=join id=8355a7f2f4c5 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:15+0700 lvl=info msg="join connections" obj=join id=fbd83b60170b l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:17+0700 lvl=info msg="join connections" obj=join id=a0cd048bb7f9 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:17+0700 lvl=info msg="join connections" obj=join id=3083843a7192 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:18+0700 lvl=info msg="join connections" obj=join id=aff5789ef98c l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:18+0700 lvl=info msg="join connections" obj=join id=c01ad6b058bb l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:23+0700 lvl=info msg="join connections" obj=join id=ec48d8ef700f l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:23+0700 lvl=info msg="join connections" obj=join id=ce232a37e989 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:23+0700 lvl=info msg="join connections" obj=join id=1b02510c7ccb l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:23+0700 lvl=info msg="join connections" obj=join id=ec0b5d3913eb l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:33+0700 lvl=info msg="join connections" obj=join id=d3688fd4bf72 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:35+0700 lvl=info msg="join connections" obj=join id=082fa32869ce l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:35+0700 lvl=info msg="join connections" obj=join id=00da23dd3d02 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:35+0700 lvl=info msg="join connections" obj=join id=418ad028aac4 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:35+0700 lvl=info msg="join connections" obj=join id=05a994bd8b6f l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:39+0700 lvl=info msg="join connections" obj=join id=6c24998e174e l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:39+0700 lvl=info msg="join connections" obj=join id=5ee8f55dcc6a l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:39+0700 lvl=info msg="join connections" obj=join id=4b5fe6a92dfa l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:39+0700 lvl=info msg="join connections" obj=join id=c334f435b2ab l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:42+0700 lvl=info msg="join connections" obj=join id=1dc70bde8581 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:42+0700 lvl=info msg="join connections" obj=join id=31f708844175 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:42+0700 lvl=info msg="join connections" obj=join id=05a3186cad34 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:42+0700 lvl=info msg="join connections" obj=join id=6789ac0717dd l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:46+0700 lvl=info msg="join connections" obj=join id=400ca3c898fc l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:49+0700 lvl=info msg="join connections" obj=join id=b191de63d0fe l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:54+0700 lvl=info msg="join connections" obj=join id=c3fd545ee9ab l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:55+0700 lvl=info msg="join connections" obj=join id=1165096ad6e7 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:55+0700 lvl=info msg="join connections" obj=join id=b479a9c55bd1 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:40:56+0700 lvl=info msg="join connections" obj=join id=9a87fd3009db l=[::1]:8088 r=36.68.53.12:6750
t=2023-02-13T08:40:57+0700 lvl=info msg="join connections" obj=join id=d9bf9654c560 l=[::1]:8088 r=36.68.53.12:6750
t=2023-02-13T08:41:01+0700 lvl=info msg="join connections" obj=join id=0a266713f96a l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:41:01+0700 lvl=info msg="join connections" obj=join id=5e35d5e09913 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:41:01+0700 lvl=info msg="join connections" obj=join id=a3394aa400c4 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:41:01+0700 lvl=info msg="join connections" obj=join id=2d4d0c8fb026 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:41:02+0700 lvl=info msg="join connections" obj=join id=668daaca90c3 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:41:02+0700 lvl=info msg="join connections" obj=join id=5df5c8675182 l=[::1]:8088 r=36.68.53.12:16834
t=2023-02-13T08:41:07+0700 lvl=info msg="join connections" obj=join id=b48e2ade3e4e l=[::1]:8088 r=36.68.53.12:16834
